2025-06-03 15:07:28.846 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-06-03 15:07:28.846 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-06-03 15:07:28.846 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-06-03 15:07:28.846 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Application is null : false
2025-06-03 15:07:28.846 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-06-03 15:07:28.846 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Application version is -1: true
2025-06-03 15:07:28.846 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-06-03 15:07:28.884 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - The response status is 200
2025-06-03 15:07:28.885 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2025-06-03 15:07:28.885 INFO  [restartedMain] c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-06-03 15:07:28.885 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1748943448885 with initial instances count: 0
2025-06-03 15:07:28.891 INFO  [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry - Registering application AGRI-JAVA with eureka with status UP
2025-06-03 15:07:28.891 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1748943448891, current=UP, previous=STARTING]
2025-06-03 15:07:28.891 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] c.netflix.discovery.DiscoveryClient - DiscoveryClient_AGRI-JAVA/192.168.116.7:AGRI-JAVA:8080: registering service...
2025-06-03 15:07:28.892 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-06-03 15:07:28.893 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-06-03 15:07:28.894 INFO  [restartedMain] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8080
2025-06-03 15:07:28.903 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] c.netflix.discovery.DiscoveryClient - DiscoveryClient_AGRI-JAVA/192.168.116.7:AGRI-JAVA:8080 - registration status: 204
2025-06-03 15:07:28.908 INFO  [restartedMain] com.farmflow.FarmFlowApplication - Started FarmFlowApplication in 3.475 seconds (process running for 848.759)
2025-06-03 15:07:28.909 INFO  [restartedMain] o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2025-06-03 15:07:58.885 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-06-03 15:07:58.887 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-06-03 15:07:58.887 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-06-03 15:07:58.887 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Application is null : false
2025-06-03 15:07:58.887 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-06-03 15:07:58.887 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Application version is -1: false
2025-06-03 15:07:58.887 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-06-03 15:07:58.910 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - The response status is 200
