2025-06-03 15:31:16.210 WARN  [restartedMain] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-06-03 15:31:16.275 INFO  [restartedMain] o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2025-06-03 15:31:16.294 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2025-06-03 15:31:16.296 INFO  [restartedMain] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-06-03 15:31:16.301 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-06-03 15:31:16.301 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-06-03 15:31:16.301 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-06-03 15:31:16.301 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Application is null : false
2025-06-03 15:31:16.301 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-06-03 15:31:16.301 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Application version is -1: true
2025-06-03 15:31:16.301 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-06-03 15:31:16.784 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - The response status is 200
2025-06-03 15:31:16.784 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2025-06-03 15:31:16.786 INFO  [restartedMain] c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-06-03 15:31:16.787 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1748944876786 with initial instances count: 0
2025-06-03 15:31:16.792 INFO  [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry - Registering application AGRI-JAVA with eureka with status UP
2025-06-03 15:31:16.792 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1748944876792, current=UP, previous=STARTING]
2025-06-03 15:31:16.793 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-06-03 15:31:16.794 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] c.netflix.discovery.DiscoveryClient - DiscoveryClient_AGRI-JAVA/192.168.116.7:AGRI-JAVA:8080: registering service...
2025-06-03 15:31:16.801 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-06-03 15:31:16.801 INFO  [restartedMain] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8080
2025-06-03 15:31:16.818 INFO  [restartedMain] com.farmflow.FarmFlowApplication - Started FarmFlowApplication in 9.416 seconds (process running for 11.053)
2025-06-03 15:31:16.883 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] c.netflix.discovery.DiscoveryClient - DiscoveryClient_AGRI-JAVA/192.168.116.7:AGRI-JAVA:8080 - registration status: 204
2025-06-03 15:31:17.413 INFO  [RMI TCP Connection(2)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-03 15:31:17.414 INFO  [RMI TCP Connection(2)-127.0.0.1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-03 15:31:17.416 INFO  [RMI TCP Connection(2)-127.0.0.1] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-06-03 15:31:21.661 INFO  [SpringApplicationShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application AGRI-JAVA with eureka with status DOWN
2025-06-03 15:31:21.662 INFO  [SpringApplicationShutdownHook] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1748944881662, current=DOWN, previous=UP]
2025-06-03 15:31:21.662 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] c.netflix.discovery.DiscoveryClient - DiscoveryClient_AGRI-JAVA/192.168.116.7:AGRI-JAVA:8080: registering service...
